,person_id,id,name,character,role
228,28171,tm14873,Raymond Johnson,Big Black Man (uncredited),ACTOR
229,58618,tm14873,Richard Lawson,Homosexual (uncredited),ACTOR
230,83043,tm14873,Laurie Mock,Third Nude (uncredited),ACTOR
231,83044,tm14873,Ann Noland,Hippie Girl (uncredited),ACTOR
232,83045,tm14873,Kathleen O'Malley,Lady in Jaffe's Cafe (uncredited),ACTOR
233,11774,tm14873,Angela Paton,Homicide Detective (uncredited),ACTOR
234,83046,tm14873,Victor Paul,Car Driver (uncredited),ACTOR
235,27040,tm14873,Debralee Scott,Ann Mary Deacon (uncredited),ACTOR
236,56405,tm14873,Don Siegel,Pedestrian Passing Harry's Car (uncredited),ACTOR
237,83047,tm14873,Kristoffer Tabori,Hippie Guy (uncredited),ACTOR
238,357644,tm14873,Tony Dario,Police Sergeant (uncredited),ACTOR
239,1254876,tm14873,Marc Hertsens,Steve - Doctor (uncredited),ACTOR
240,1254791,tm14873,Gordon Chapli,Fireman (uncredited),ACTOR
241,1254778,tm14873,Janet Wisely,First Nude (uncredited),ACTOR
242,1255103,tm14873,Pamela Tanimura,Bus Kid (uncredited),ACTOR
243,1254838,tm14873,Richard Samuelson,Bus Kid (uncredited),ACTOR
244,1255106,tm14873,Derek Jue,Bus Kid (uncredited),ACTOR
245,1255122,tm14873,Sean Maley,Bus Kid (uncredited),ACTOR
246,1255589,tm14873,Diane Darnell,Mayor's Secretary (uncredited),ACTOR
248,20837,tm119281,Warren Beatty,Clyde Barrow,ACTOR
249,17170,tm119281,Faye Dunaway,Bonnie Parker,ACTOR
250,16446,tm119281,Michael J. Pollard,C. W. Moss,ACTOR
251,15098,tm119281,Gene Hackman,Buck Barrow,ACTOR
252,22346,tm119281,Estelle Parsons,Blanche,ACTOR
253,18249,tm119281,Denver Pyle,Frank Hamer,ACTOR
254,11347,tm119281,Dub Taylor,Ivan Moss,ACTOR
255,22347,tm119281,Evans Evans,Velma Davis,ACTOR
256,22345,tm119281,Gene Wilder,Eugene Grizzard,ACTOR
257,22348,tm119281,Mabel Cavitt,Bonnie's mother (uncredited),ACTOR
258,22349,tm119281,Patrick Cranshaw,Bank Teller (uncredited),ACTOR
259,345491,tm119281,Owen Bush,Policeman (uncredited),ACTOR
260,22351,tm119281,Clyde Howdy,Deputy (uncredited),ACTOR
261,22352,tm119281,Russ Marker,Bank Guard (uncredited),ACTOR
262,22354,tm119281,Ann Palmer,Bonnie's Sister (uncredited),ACTOR
263,511857,tm119281,Ken Mayer,Sheriff Smoot (uncredited),ACTOR
265,14989,tm98978,Brooke Shields,Emmeline,ACTOR
266,44313,tm98978,Christopher Atkins,Richard,ACTOR
267,36764,tm98978,Leo McKern,Paddy Button,ACTOR
268,30068,tm98978,William Daniels,Arthur Lestrange,ACTOR
269,80677,tm98978,Jeffrey Kleiser,Lookout,ACTOR
270,66492,tm98978,Gus Mercurio,Officer,ACTOR
271,80678,tm98978,Elva Josephson,Young Emmeline,ACTOR
272,80679,tm98978,Glenn Kohan,Young Richard,ACTOR
273,80680,tm98978,Bradley Pryce,Little Paddy,ACTOR
274,80681,tm98978,Chad Timmerman,Infant Paddy,ACTOR
275,80682,tm98978,Gert Jacoby,Sailor,ACTOR
276,80683,tm98978,Alex Hamilton,Sailor,ACTOR
277,80684,tm98978,Richard Evanson,Sailor,ACTOR
279,16024,tm44204,Gregory Peck,Capt. Keith Mallory,ACTOR
280,16485,tm44204,David Niven,Cpl. James Arthur Miller,ACTOR
281,16350,tm44204,Anthony Quinn,Col. Andrea Stavros,ACTOR
282,29175,tm44204,Stanley Baker,Pvt. 'Butcher' Brown,ACTOR
283,16352,tm44204,Anthony Quayle,Maj. Roy Franklin,ACTOR
284,29176,tm44204,James Darren,Pvt. Spyros Pappadimos,ACTOR
285,21795,tm44204,Irene Papas,Maria Pappadimos,ACTOR
286,29177,tm44204,Gia Scala,Anna,ACTOR
287,29178,tm44204,James Robertson Justice,Commodore Jensen / Prologue Narrator,ACTOR
288,4431,tm44204,Richard Harris,Squadron Leader Howard Barnsby RAAF,ACTOR
289,29179,tm44204,Bryan Forbes,Cohn,ACTOR
290,29180,tm44204,Allan Cuthbertson,Maj. Baker,ACTOR
291,16493,tm44204,Michael Trubshawe,Weaver,ACTOR
292,27914,tm44204,Percy Herbert,Sgt. Grogan,ACTOR
293,16882,tm44204,George Mikell,SS Hauptman Sessler,ACTOR
294,11738,tm44204,Walter Gotell,Muesel,ACTOR
295,13701,tm44204,Tutte Lemkow,Nicolai,ACTOR
296,29181,tm44204,Albert Lieven,Commandant,ACTOR
297,29182,tm44204,Norman Wooland,Group Captain,ACTOR
298,613906,tm44204,Kleo Skouloudi,Bride,ACTOR
299,29184,tm44204,Nicholas Papakonstantinou,Patrol Boat Captain,ACTOR
300,29185,tm44204,Christopher Rhodes,German Gunnery Officer,ACTOR
301,13433,tm44204,William Hoehne Jr.,German Officer on Navarone,ACTOR
303,26187,tm67378,Burt Lancaster,Dolworth,ACTOR
304,35196,tm67378,Lee Marvin,Fardan,ACTOR
305,24126,tm67378,Robert Ryan,Ehrengard,ACTOR
306,36499,tm67378,Woody Strode,Jake,ACTOR
307,16444,tm67378,Jack Palance,Jesus Raza,ACTOR
308,16488,tm67378,Claudia Cardinale,Maria,ACTOR
309,12463,tm67378,Ralph Bellamy,Grant,ACTOR
310,62767,tm67378,Joe De Santis,Ortega,ACTOR
311,62768,tm67378,Rafael Bertrand,Fierro,ACTOR
312,62769,tm67378,Jorge Martínez de Hoyos,Padilla,ACTOR
313,62770,tm67378,Marie Gomez,Chiquita,ACTOR
314,57746,tm67378,José Chávez,Revolutionary,ACTOR
315,127918,tm67378,Carlos Romero,Revolutionary,ACTOR
316,23699,tm67378,Vaughn Taylor,Banker,ACTOR
317,534965,tm67378,Elizabeth Campbell,Mexican Girl (uncredited),ACTOR
318,1461646,tm67378,Don Carlos,Bandit (uncredited),ACTOR
319,58919,tm67378,Leigh Chapman,Lady (uncredited),ACTOR
320,80218,tm67378,Roberto Contreras,Bandit (uncredited),ACTOR
321,2209884,tm67378,Dirk Evans,Man at Door (uncredited),ACTOR
322,539684,tm67378,Darwin Lamb,Hooper (uncredited),ACTOR
323,227842,tm67378,Eddie Little Sky,Jake's Prisoner (uncredited),ACTOR
324,2209736,tm67378,John Lopez,Mexican Servant (uncredited),ACTOR
325,101889,tm67378,John McKee,Sheriff (uncredited),ACTOR
326,534354,tm67378,Philip L. Parslow,Deputy Sheriff (uncredited),ACTOR
327,650832,tm67378,Ron Veto,Mexican Soldier (uncredited),ACTOR
329,25707,tm69997,Richard Pryor,Himself,ACTOR
330,191724,tm69997,Jennifer Lee Pryor,Herself (uncredited),ACTOR
332,25056,tm16479,Bing Crosby,Bob Wallace,ACTOR
333,60326,tm16479,Danny Kaye,Phil Davis,ACTOR
334,74992,tm16479,Rosemary Clooney,Betty Haynes,ACTOR
335,74993,tm16479,Vera-Ellen,Judy Haynes,ACTOR
336,41874,tm16479,Dean Jagger,General Waverly,ACTOR
337,27535,tm16479,Mary Wickes,Emma Allen,ACTOR
338,74994,tm16479,John Brascia,John,ACTOR
339,74995,tm16479,Anne Whitfield,Susan Waverly,ACTOR
340,74996,tm16479,Bea Allen,Dancer (uncredited),ACTOR
341,36157,tm16479,Frank Baker,Anniversary Party Guest (uncredited),ACTOR
342,74997,tm16479,Glen Cargyle,Jeep Driver (uncredited),ACTOR
343,25098,tm16479,George Chakiris,Dancer (uncredited),ACTOR
344,100934,tm16479,Barrie Chase,Doris Lenz (uncredited),ACTOR
345,1023889,tm16479,Lorinne Crawford,Rita (uncredited),ACTOR
346,22477,tm16479,Franklyn Farnum,Club Patron (uncredited),ACTOR
347,14166,tm16479,Bess Flowers,Club Patron (uncredited),ACTOR
348,36504,tm16479,Gavin Gordon,General Carlton (uncredited),ACTOR
349,422099,tm16479,Johnny Grant,Ed Harrison (uncredited),ACTOR
350,57838,tm16479,Percy Helton,Train Conductor (uncredited),ACTOR
351,88997,tm16479,I. Stanford Jolley,Station Master (uncredited),ACTOR
352,45687,tm16479,Sig Ruman,Landlord (uncredited),ACTOR
353,132394,tm16479,Grady Sutton,Mr. Herring (uncredited),ACTOR
354,71905,tm16479,Herb Vigran,Novello (uncredited),ACTOR
355,498631,tm16479,Robert Crosson,Albert (uncredited),ACTOR
357,173189,tm135083,Farid Shawqi,Abu Siri,ACTOR
358,530033,tm135083,Hind Rostom,Hanuma,ACTOR
359,173191,tm135083,Youssef Chahine,Qinawi,ACTOR
360,1321002,tm135083,Hassan el Baroudi,Madbouli,ACTOR
361,557165,tm135083,Abdel Aziz Khalil,Abu Gaber,ACTOR
362,557166,tm135083,Said Khalil,Jadallah,ACTOR
363,557167,tm135083,Abdel Ghani Nagdi,Sa'idi traveller,ACTOR
365,557169,tm135083,Abdel Hamid Bodaoha,Shawish Hassanein,ACTOR
368,538017,tm135083,Ahmed Abaza,Mansour,ACTOR
371,557178,tm135083,Asaad Kellada,(as Assaad Kellada),ACTOR
372,555008,tm135083,Naima Wasfy,Hallawatim,ACTOR
384,2342528,tm135083,Safia Tharwat,Halawethom,ACTOR
386,218173,tm89386,Gert Westphal,Narrator (voice),ACTOR
388,15595,tm156453,Jane Fonda,Herself,ACTOR
389,1765,tm156453,Donald Sutherland,Himself,ACTOR
390,529469,tm156453,Pamela Donegan,Herself,ACTOR
391,529467,tm156453,Len Chandler,Himself,ACTOR
392,37864,tm156453,Michael Alaimo,Himself,ACTOR
393,208243,tm156453,Holly Near,Herself,ACTOR
394,70582,tm156453,Paul Mooney,Himself,ACTOR
395,488851,tm156453,Rita Martinson,Herself,ACTOR
396,32267,tm156453,Peter Boyle,Himself,ACTOR
397,473965,tm156453,Steve Jaffe,Himself,ACTOR
399,173189,tm14350,Farid Shawqi,Mohsen's Father,ACTOR
400,530826,tm14350,Mahmoud el-Meliguy,Qadry,ACTOR
401,216804,tm14350,Ezzat El Alaili,Shaker,ACTOR
402,538123,tm14350,Youssef Wahby,Souril,ACTOR
410,540702,tm14350,Abdel Warith Assir,The Sheikh,ACTOR
419,223449,tm14350,Ahmad Zaki,Ibrahim,ACTOR
422,452580,tm14350,Abdullah Mahmoud,Mohsen,ACTOR
423,1113158,tm14350,Mohsena Tawfik,Yehya's Mother,ACTOR
426,216804,tm81728,Ezzat El Alaili,Abd El-Hadi,ACTOR
427,530826,tm81728,Mahmoud el-Meliguy,Mohamed Abu Swelam,ACTOR
428,452578,tm81728,Hamdy Ahmed,Mohammad Effendi,ACTOR
429,537218,tm81728,Yehia Chahine,Hassuna,ACTOR
430,498370,tm81728,Tewfik El Dekn,Khedr,ACTOR
431,676484,tm81728,Ali El Sherif,Diab,ACTOR
432,451939,tm81728,Salah El-Saadany,Elwani,ACTOR
433,525264,tm81728,Nagwa Ibrahim,Wasifa,ACTOR
434,540702,tm81728,Abdel Warith Assir,El Omda,ACTOR
435,1332498,tm81728,Fatma Omara‏,Khadra,ACTOR
